// Gerado por `qualis coletar-eventos`. Edite à mão se precisar:
// linhas iniciadas por // são ignoradas, e a coluna h5 vence.
// h5_fonte=scholar é o dado que o Documento de Área manda usar;
// h5_fonte=sbc-2024 é a coluna da planilha da SBC, que está
// desatualizada e serve só como referência.
// ambiguo=1: o Scholar tem mais de uma entrada para o evento,
// com h5 diferentes; ficamos com o maior. Confira esses casos.
// anos_tradicao fica vazio: não há fonte verificável em massa.
sigla,nome,h5,ce_sbc,anos_tradicao,segue_gt_capes,h5_fonte,h5_sbc,ambiguo,ces,entradas_scholar
3DIC,IEEE International 3D Systems Integration Conference,,relevante,,1,nenhum,5,0,CE-CCI,
3DUI,IEEE Symposium on 3D User Interfaces,,relevante,,1,nenhum,22,0,CE-IHC,
3DV,International Conference on 3D Vision,56,relevante,,1,scholar,51,0,CE-GRAPI|CE-RV,International Conference on 3D Vision (3DV) (h5=56)
<Programming>,"International Conference on the Art, Science, and Engineering of Programming",77,relevante,,1,scholar,8,1,CE-LP,"International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS) (h5=77) || Mathematical Programming (h5=64) || Scientific Programming (h5=53) || Proceedings of the ACM on Programming Languages (h5=51) || ACM SIGPLAN Conference on Programming Language Design and Implementation (PLDI) (h5=51) || ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming (PPOPP) (h5=34) || International Colloquium on Automata, Languages and Programming (ICALP) (h5=29) || Science of Computer Programming (h5=27) || Mathematical Programming Computation (h5=25) || European Symposium on Programming (ESOP) (h5=24) || International Conference on Agile Processes in Software Engineering and Extreme Programming (XP) (h5=23) || Genetic Programming and Evolvable Machines (h5=22) || International Journal of Parallel Programming (h5=22) || European Conference on Object-oriented Programming (ECOOP) (h5=21) || Theory and Practice of Logic Programming (h5=21) || International Conference on Principles and Practice of Constraint Programming (h5=20) || International Conference on Integration of AI and OR Techniques in Constraint Programming (h5=18) || Programming and Computer Software (h5=17) || Journal of Logical and Algebraic Methods in Programming (h5=17) || Journal of Functional Programming (h5=13)"
AAAI,AAAI Conference on Artificial Intelligence,232,top10,,1,scholar,220,1,CE-GRAPI|CE-IA|CE-IC|CE-PLN,"AAAI Conference on Artificial Intelligence (h5=232) || AAAI/ACM Conference on AI, Ethics, and Society (h5=62) || Artificial Intelligence (h5=62) || AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment (h5=23) || SafeAI@ AAAI (h5=18) || AAAI Spring Symposium: MAKE (h5=17) || AAAI Symposium Series (h5=14)"
AAATE,Association for the Advancement of Assistive Technology in Europe Conference,,relevante,,1,nenhum,0,0,CE-IHC,
AAMAS,International Conference on Autonomous Agents and Multiagent Systems,54,top10,,1,scholar,54,0,CE-IA,International Conference on Autonomous Agents and Multiagent Systems (h5=54)
ABCIBER,Congresso Brasileiro de Pesquisadores em Cibercultura,,relevante,,1,nenhum,0,0,CE-IHC,
ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",,top20,,1,nenhum,13,0,CE-MF,
ACC,American Control Conference,50,relevante,,1,scholar,41,0,CE-R,American Control Conference (h5=50)
ACCV,Asian Conference on Computer Vision,262,relevante,,1,scholar,39,1,CE-GRAPI|CE-RV,European Conference on Computer Vision (h5=262) || IEEE/CVF International Conference on Computer Vision (h5=256) || International Journal of Computer Vision (h5=109) || Asian Conference on Computer Vision (ACCV) (h5=52) || IET Computer Vision (h5=21) || International Workshop on Frontiers of Computer Vision (h5=11)
ACE,The Australasian Computing Education Conference,21,top20,,1,scholar,22,0,CE-EDUCOMP|CE-IHC,Australasian Computing Education Conference (h5=21)
ACE-X,International Conference on Advanced Computational Engineering and Experimenting,,relevante,,1,nenhum,,0,CE-RV,
ACHI,International Conference on Advances in Computer-Human Interaction,,relevante,,1,nenhum,0,0,CE-IHC,
ACII,International Conference on Affective Computing and Intelligent Interaction,23,relevante,,1,scholar,24,0,CE-IA|CE-IHC,International Conference on Affective Computing and Intelligent Interaction and Workshops (h5=23)
ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,9,relevante,,1,scholar,7,0,CE-R,Asia-Pacific Conference on Intelligent Robot Systems (h5=9)
ACIS,Australasian Conference on Information Systems,17,relevante,,1,scholar,14,1,CE-SI,"Australasian Conference on Information Systems (h5=17) || ACIS International Conference on Software Engineering Research, Management & Applications (h5=12) || ACIS International Conference on Software Engineering, Artificial Intelligence, Networking, and Parallel/Distributed Computing (h5=11) || IEEE/ACIS International Conference on Computer and Information Science ICIS (h5=8) || Buletin ACIS (h5=1)"
ACISP,Australasian Conference on Information Security and Privacy,19,relevante,,1,scholar,17,1,CE-SEG,International Conference on Information Systems Security and Privacy (h5=19) || Australasian Conference on Information Security and Privacy (ACISP) (h5=18) || International Journal of Information Security and Privacy (h5=17)
ACIVS,Advanced Concepts for Intelligent Vision Systems,,relevante,,1,nenhum,6,0,CE-GRAPI,
ACL,Annual Meeting of the Association for Computational Linguistics,236,top10,,1,scholar,215,0,CE-BD|CE-IA|CE-PLN,Meeting of the Association for Computational Linguistics (ACL) (h5=236)
ACM CC,Creativity & Cognition,,relevante,,1,nenhum,23,0,CE-IHC,
ACM CCS,ACM Symposium on Computer and Communications Security,90,top10,,1,scholar,92,0,CE-SEG,ACM Symposium on Computer and Communications Security (h5=90)
ACM CHI PLAY,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,27,top20,,1,scholar,31,0,CE-IHC,Annual Symposium on Computer-Human Interaction in Play (h5=27)
ACM DocEng,ACM Symposium on Document Engineering,14,relevante,,1,scholar,13,0,CE-WEBMEDIA,ACM Symposium on Document Engineering (h5=14)
ACM HT,ACM Hypertext Conference / Hipertext,,relevante,,1,nenhum,0,0,CE-IHC,
ACM IMX,ACM International Conference on Interactive Media Experiences,20,top10,,1,scholar,15,0,CE-WEBMEDIA,ACM International Conference on Interactive Media Experiences (h5=20)
ACM Multimedia,ACM International Conference on Multimedia,119,relevante,,1,scholar,101,0,CE-GRAPI,ACM International Conference on Multimedia (h5=119)
ACM-CIKM,ACM International Conference on Information and Knowledge Management,96,relevante,,1,scholar,79,0,CE-IA,ACM International Conference on Information and Knowledge Management (h5=96)
ACM-MM,ACM International Conference on Multimedia,119,relevante,,1,scholar,101,0,CE-RV,ACM International Conference on Multimedia (h5=119)
ACMSOCC,ACM Symposium on Cloud Computing,39,relevante,,1,scholar,35,1,CE-RESD,ACM Symposium on Cloud Computing (h5=39) || IEEE International Conference on Cloud Computing (CLOUD) (h5=24)
ACNS,Applied Cryptography and Network Security,28,top20,,1,scholar,28,0,CE-SEG,Applied Cryptography and Network Security (h5=28)
ACRA,Australasian Conference on Robotics and Automation,129,relevante,,1,scholar,,0,CE-R,IEEE International Conference on Robotics and Automation (h5=129)
ACSAC,Computer Security Applications Conference,40,top20,,1,scholar,36,0,CE-SEG,Computer Security Applications Conference (h5=40)
ADBIS,European Conference on Advances in Databases and Information Systems,14,top20,,1,scholar,13,0,CE-BD|CE-SI,Advances in Databases and Information Systems (ADBIS) (h5=14)
